GSA;COUNTRY;STRATUM;CODE;SURF;MIN_DEPTH;MAX_DEPTH
9;ITA;13207b;2;1598;50;100
9;ITA;13208b;3;3186;100;200
9;ITA;13209b;4;2449;200;500
9;ITA;13210b;5;879;500;800
9;ITA;13211c;1;945;10;50
9;ITA;13212c;2;1506;50;100
9;ITA;13213c;3;2732;100;200
9;ITA;13214c;4;2828;200;500
9;ITA;13215c;5;3071;500;800
9;ITA;13216d;1;2107;10;50
9;ITA;13217d;2;2159;50;100
9;ITA;13218d;3;4302;100;200
9;ITA;13219d;4;3573;200;500
9;ITA;13220d;5;3148;500;800
10;ITA;13401a;1;1194;10;50
10;ITA;13402a;2;1224;50;100
10;ITA;13403a;3;2095;100;200
10;ITA;13404a;4;3238;200;500
10;ITA;13405a;5;5248;500;800
10;ITA;13406b;1;622;10;50
10;ITA;13407b;2;1003;50;100
10;ITA;13408b;3;1224;100;200
10;ITA;13409b;4;1966;200;500
10;ITA;13410b;5;2441;500;800
11;ITA;13301a;1;822;10;50
11;ITA;13302a;2;382;50;100
11;ITA;13303a;3;351;100;200
11;ITA;13304a;4;589;200;500
11;ITA;13305a;5;502;500;800
11;ITA;13306b;1;910;10;50
11;ITA;13307b;2;1592;50;100
11;ITA;13308b;3;839;100;200
11;ITA;13309b;4;765;200;500
11;ITA;13310b;5;855;500;800
11;ITA;13311c;1;627;10;50
11;ITA;13312c;2;796;50;100
11;ITA;13313c;3;512;100;200
11;ITA;13314c;4;500;200;500
11;ITA;13315c;5;242;500;800
11;ITA;13316d;1;431;10;50
11;ITA;13317d;2;541;50;100
11;ITA;13318d;3;896;100;200
11;ITA;13319d;4;471;200;500
11;ITA;13320d;5;335;500;800
11;ITA;13321e;1;1096;10;50
11;ITA;13322e;2;446;50;100
11;ITA;13323e;3;927;100;200
11;ITA;13324e;4;412;200;500
11;ITA;13325e;5;260;500;800
11;ITA;13326f;1;783;10;50
11;ITA;13327f;2;987;50;100
11;ITA;13328f;3;2335;100;200
11;ITA;13329f;4;1620;200;500
